iter	Passed	Remaining
0	2	2004
1	3	1837
2	5	1859
3	7	1814
4	8	1784
5	10	1800
6	12	1840
7	14	1846
8	16	1842
9	18	1863
10	20	1855
11	22	1861
12	24	1858
13	26	1854
14	28	1840
15	29	1827
16	31	1804
17	33	1807
18	35	1808
19	36	1800
20	38	1797
21	40	1783
22	41	1770
23	43	1765
24	44	1750
25	46	1754
26	48	1752
27	50	1752
28	52	1752
29	54	1747
30	55	1736
31	57	1741
32	59	1739
33	60	1731
34	62	1728
35	64	1723
36	66	1720
37	67	1715
38	69	1710
39	70	1703
40	72	1705
41	74	1702
42	76	1701
43	78	1695
44	79	1696
45	81	1693
46	84	1705
47	85	1703
48	87	1702
49	89	1696
50	91	1704
51	93	1701
52	95	1698
53	96	1693
54	98	1690
55	100	1689
56	101	1683
57	103	1681
58	105	1677
59	107	1677
60	108	1673
61	110	1678
62	112	1674
63	114	1674
64	116	1672
65	118	1672
66	120	1673
67	121	1671
68	124	1678
69	126	1681
70	128	1678
71	130	1675
72	131	1673
73	133	1669
74	135	1667
75	137	1665
76	138	1665
77	140	1663
78	142	1661
79	143	1655
80	145	1655
81	147	1653
82	149	1647
83	151	1646
84	152	1644
85	154	1645
86	156	1641
87	158	1638
88	159	1636
89	161	1633
90	163	1630
91	164	1626
92	167	1630
93	168	1626
94	170	1624
95	172	1623
96	174	1622
97	175	1618
98	177	1614
99	179	1613
100	181	1612
101	182	1609
102	184	1607
103	186	1606
104	188	1606
105	190	1603
106	191	1602
107	194	1604
108	195	1601
109	197	1598
110	199	1595
111	201	1594
112	202	1590
113	204	1588
114	206	1589
115	208	1588
116	210	1585
117	211	1581
118	213	1580
119	215	1579
120	216	1575
121	218	1573
122	220	1574
123	222	1575
124	224	1572
125	226	1570
126	228	1569
127	230	1567
128	231	1563
129	233	1561
130	235	1561
131	236	1557
132	238	1556
133	240	1556
134	242	1555
135	244	1551
136	246	1550
137	247	1549
138	249	1547
139	251	1545
140	253	1542
141	255	1545
142	257	1542
143	259	1541
144	260	1538
145	263	1540
146	264	1537
147	266	1535
148	268	1534
149	270	1532
150	272	1529
151	273	1527
152	275	1525
153	277	1522
154	278	1519
155	280	1516
156	282	1514
157	283	1511
158	285	1509
159	286	1506
160	288	1503
161	290	1501
162	292	1500
163	293	1497
164	295	1495
165	297	1493
166	298	1491
167	300	1488
168	302	1485
169	303	1483
170	305	1481
171	307	1478
172	309	1479
173	311	1477
174	312	1474
175	314	1473
176	316	1471
177	318	1469
178	319	1467
179	321	1465
180	323	1464
181	325	1461
182	326	1458
183	328	1455
184	330	1456
185	332	1453
186	333	1451
187	335	1449
188	337	1447
189	339	1445
190	340	1443
191	342	1441
192	344	1439
193	346	1438
194	347	1436
195	349	1433
196	351	1431
197	352	1428
198	354	1426
199	356	1424
200	357	1422
201	359	1419
202	361	1417
203	362	1414
204	364	1413
205	365	1410
206	367	1408
207	369	1406
208	371	1404
209	372	1402
210	374	1399
211	376	1399
212	378	1397
213	380	1395
214	381	1394
215	383	1392
216	385	1389
217	386	1387
218	388	1384
219	389	1382
220	391	1380
221	393	1377
222	394	1375
223	396	1373
224	398	1371
225	400	1370
226	401	1367
227	403	1365
228	405	1363
229	406	1361
230	408	1359
231	410	1357
232	411	1356
233	413	1354
234	415	1351
235	416	1349
236	418	1347
237	420	1346
238	422	1344
239	424	1343
240	425	1341
241	427	1339
242	429	1337
243	430	1335
244	432	1333
245	434	1331
246	435	1328
247	437	1326
248	439	1325
249	440	1322
250	442	1320
251	444	1319
252	446	1317
253	447	1315
254	449	1313
255	451	1310
256	452	1309
257	454	1307
258	456	1304
259	457	1303
260	459	1300
261	460	1298
262	462	1296
263	464	1294
264	466	1293
265	467	1291
266	469	1289
267	471	1287
268	473	1285
269	474	1283
270	476	1281
271	478	1279
272	479	1277
273	481	1276
274	483	1274
275	485	1273
276	487	1271
277	488	1269
278	490	1267
279	492	1265
280	493	1263
281	495	1260
282	496	1258
283	498	1256
284	500	1254
285	501	1252
286	503	1250
287	504	1247
288	506	1246
289	508	1243
290	509	1241
291	511	1240
292	513	1238
293	514	1236
294	516	1234
295	518	1232
296	519	1230
297	521	1228
298	523	1226
299	524	1224
300	526	1222
301	527	1220
302	529	1218
303	531	1216
304	532	1214
305	534	1212
306	536	1210
307	537	1208
308	539	1207
309	541	1205
310	543	1203
311	544	1201
312	546	1200
313	548	1198
314	550	1197
315	552	1195
316	554	1193
317	555	1192
318	557	1189
319	559	1188
320	561	1186
321	562	1185
322	564	1183
323	566	1181
324	567	1179
325	569	1177
326	571	1175
327	572	1173
328	574	1171
329	575	1169
330	577	1167
331	579	1165
332	580	1163
333	582	1161
334	584	1160
335	585	1158
336	587	1156
337	589	1154
338	591	1152
339	592	1151
340	594	1149
341	596	1147
342	598	1145
343	599	1143
344	601	1141
345	603	1140
346	604	1138
347	606	1136
348	608	1134
349	610	1133
350	611	1131
351	613	1129
352	615	1128
353	616	1125
354	618	1124
355	620	1122
356	622	1120
357	623	1118
358	625	1116
359	627	1114
360	628	1112
361	630	1111
362	632	1109
363	633	1107
364	635	1105
365	637	1103
366	638	1101
367	640	1099
368	642	1098
369	643	1096
370	645	1094
371	647	1092
372	648	1090
373	650	1088
374	652	1086
375	653	1085
376	655	1083
377	657	1082
378	659	1079
379	660	1078
380	662	1076
381	664	1074
382	665	1072
383	667	1070
384	669	1069
385	671	1067
386	672	1065
387	674	1064
388	676	1063
389	678	1061
390	680	1059
391	681	1057
392	683	1056
393	685	1054
394	686	1052
395	688	1050
396	690	1049
397	692	1047
398	694	1046
399	696	1044
400	698	1043
401	700	1041
402	701	1039
403	703	1037
404	704	1035
405	706	1033
406	708	1031
407	709	1030
408	711	1028
409	713	1026
410	714	1024
411	716	1022
412	718	1021
413	720	1019
414	721	1017
415	723	1015
416	725	1014
417	727	1012
418	728	1010
419	730	1009
420	732	1007
421	734	1005
422	736	1004
423	737	1002
424	739	1000
425	741	999
426	743	997
427	745	996
428	747	994
429	748	992
430	750	990
431	752	989
432	754	987
433	755	985
434	757	984
435	759	982
436	760	980
437	762	978
438	764	976
439	766	975
440	768	973
441	769	971
442	771	970
443	773	968
444	774	966
445	776	964
446	778	963
447	780	961
448	781	959
449	783	957
450	785	955
451	786	954
452	788	952
453	790	950
454	792	948
455	793	947
456	795	945
457	797	943
458	799	941
459	800	939
460	802	938
461	804	936
462	806	935
463	808	934
464	810	932
465	811	930
466	813	928
467	815	926
468	816	924
469	818	923
470	820	921
471	822	919
472	823	917
473	825	916
474	827	915
475	829	913
476	831	911
477	833	909
478	835	908
479	836	906
480	838	904
481	840	903
482	842	901
483	844	899
484	845	898
485	847	896
486	849	894
487	851	892
488	852	891
489	855	889
490	856	888
491	858	886
492	860	884
493	862	883
494	863	881
495	865	879
496	867	877
497	869	876
498	870	874
499	872	872
500	874	870
501	875	868
502	877	867
503	879	865
504	881	863
505	882	861
506	884	860
507	886	858
508	887	856
509	889	854
510	891	853
511	893	851
512	895	849
513	896	847
514	898	846
515	900	844
516	902	843
517	904	841
518	906	839
519	908	838
520	909	836
521	911	834
522	913	833
523	915	831
524	917	829
525	919	828
526	920	826
527	922	824
528	924	823
529	926	821
530	927	819
531	929	817
532	931	816
533	933	814
534	934	812
535	936	810
536	938	809
537	940	807
538	941	805
539	943	803
540	945	802
541	947	800
542	949	798
543	950	797
544	952	795
545	954	793
546	956	792
547	958	790
548	959	788
549	961	786
550	963	784
551	965	783
552	966	781
553	968	779
554	970	778
555	972	776
556	974	774
557	976	773
558	977	771
559	979	769
560	981	767
561	982	765
562	984	764
563	985	762
564	987	760
565	989	758
566	990	756
567	992	754
568	994	753
569	996	751
570	997	749
571	1000	748
572	1001	746
573	1003	744
574	1005	743
575	1007	741
576	1008	739
577	1010	737
578	1012	735
579	1013	734
580	1015	732
581	1017	730
582	1018	728
583	1020	726
584	1022	725
585	1024	723
586	1025	721
587	1027	719
588	1029	718
589	1030	716
590	1032	714
591	1034	712
592	1036	711
593	1038	709
594	1039	707
595	1041	706
596	1043	704
597	1045	702
598	1046	700
599	1048	699
600	1050	697
601	1052	695
602	1053	693
603	1055	692
604	1057	690
605	1059	688
606	1060	686
607	1062	684
608	1064	683
609	1066	681
610	1068	680
611	1070	678
612	1071	676
613	1073	674
614	1075	672
615	1076	671
616	1078	669
617	1080	667
618	1081	665
619	1083	664
620	1085	662
621	1087	660
622	1089	659
623	1091	657
624	1093	655
625	1094	654
626	1096	652
627	1098	650
628	1100	648
629	1101	647
630	1103	645
631	1105	643
632	1106	641
633	1108	640
634	1110	638
635	1111	636
636	1114	634
637	1116	633
638	1117	631
639	1119	629
640	1121	627
641	1122	626
642	1124	624
643	1126	622
644	1128	621
645	1130	619
646	1132	617
647	1134	616
648	1136	614
649	1137	612
650	1139	610
651	1141	609
652	1143	607
653	1144	605
654	1147	604
655	1148	602
656	1150	600
657	1152	599
658	1154	597
659	1156	595
660	1157	593
661	1159	591
662	1161	590
663	1162	588
664	1164	586
665	1166	584
666	1168	583
667	1170	581
668	1171	579
669	1173	578
670	1175	576
671	1177	574
672	1179	572
673	1181	571
674	1183	569
675	1184	567
676	1186	566
677	1188	564
678	1190	562
679	1192	560
680	1193	559
681	1195	557
682	1197	555
683	1199	553
684	1201	552
685	1202	550
686	1204	548
687	1206	547
688	1208	545
689	1210	543
690	1211	541
691	1213	540
692	1215	538
693	1217	536
694	1219	535
695	1221	533
696	1223	531
697	1224	529
698	1226	528
699	1228	526
700	1230	524
701	1231	522
702	1233	521
703	1235	519
704	1237	517
705	1239	515
706	1240	514
707	1242	512
708	1244	510
709	1246	509
710	1248	507
711	1250	505
712	1252	504
713	1253	502
714	1255	500
715	1257	498
716	1258	496
717	1260	495
718	1262	493
719	1264	491
720	1265	489
721	1267	488
722	1269	486
723	1271	484
724	1272	482
725	1274	481
726	1276	479
727	1278	477
728	1280	475
729	1282	474
730	1283	472
731	1285	470
732	1287	468
733	1289	467
734	1291	465
735	1293	464
736	1295	462
737	1297	460
738	1299	458
739	1301	457
740	1303	455
741	1305	453
742	1307	452
743	1308	450
744	1310	448
745	1312	446
746	1313	444
747	1315	443
748	1317	441
749	1319	439
750	1320	437
751	1322	436
752	1324	434
753	1326	432
754	1327	430
755	1329	429
756	1331	427
757	1333	425
758	1334	423
759	1337	422
760	1338	420
761	1340	418
762	1342	416
763	1344	415
764	1345	413
765	1347	411
766	1349	409
767	1351	408
768	1353	406
769	1355	404
770	1357	403
771	1359	401
772	1360	399
773	1362	397
774	1364	396
775	1366	394
776	1367	392
777	1369	390
778	1371	389
779	1373	387
780	1374	385
781	1376	383
782	1378	382
783	1380	380
784	1382	378
785	1383	376
786	1386	375
787	1387	373
788	1389	371
789	1391	369
790	1393	368
791	1395	366
792	1396	364
793	1399	363
794	1401	361
795	1402	359
796	1405	357
797	1406	356
798	1408	354
799	1410	352
800	1413	351
801	1415	349
802	1417	347
803	1419	346
804	1421	344
805	1423	342
806	1425	340
807	1427	339
808	1428	337
809	1430	335
810	1433	333
811	1434	332
812	1436	330
813	1437	328
814	1439	326
815	1441	325
816	1443	323
817	1445	321
818	1447	319
819	1448	318
820	1450	316
821	1452	314
822	1454	312
823	1455	310
824	1457	309
825	1459	307
826	1461	305
827	1463	303
828	1464	302
829	1466	300
830	1468	298
831	1470	296
832	1471	295
833	1473	293
834	1475	291
835	1476	289
836	1478	287
837	1480	286
838	1481	284
839	1483	282
840	1485	280
841	1487	279
842	1489	277
843	1490	275
844	1492	273
845	1494	271
846	1495	270
847	1497	268
848	1499	266
849	1501	264
850	1502	263
851	1504	261
852	1506	259
853	1507	257
854	1509	255
855	1511	254
856	1512	252
857	1514	250
